 Estimulo, Respuesta,Confidence,,,,,,Confidence,
314,n,1,,,,,,2,
315,n,1,,,,,,2,
316,s,6,,,,,,2,
317,n,1,,,,,,2,
318,n,1,,,,,,2,
319,s,6,,,,,,2,
320,n,1,,,,,,2,
321,s,6,,,,,,2,
322,n,2,,,,,,2,
323,s,5,,,,,,2,
324,n,2,,,,,,2,
325,n,1,,,,,,2,
326,s,6,,,,,,2,
327,n,1,,,,,,2,
328,n,2,,,,,,2,
329,s,5,,,,,,2,
330,n,1,,,,,,2,
331,n,1,,,,,,2,
332,s,6,,,,,,2,
333,n,1,,,,,,2,
334,s,6,,,,,,2,
335,s,5,,,,,,2,
336,n,2,,,,,,2,
337,n,1,,,,,,2,
338,s,6,,,,,,2,
339,n,2,,,,,,2,
340,n,1,,,,,,2,
341,n,1,,,,,,2,
342,n,2,,,,,,2,
343,n,2,,,,,,2,
344,n,2,,,,,,2,
345,n,3,,,,,,2,
346,s,5,,,,,,2,
347,n,2,,,,,,2,
348,n,2,,,,,,2,
349,n,1,,,,,,2,
350,n,1,,,,,,2,
351,n,2,,,,,,2,
352,n,2,,,,,,2,
353,n,2,,,,,,2,
354,n,1,,,,,,2,
355,n,2,,,,,,2,
356,n,1,,,,,,2,
357,s,5,,,,,,2,
358,s,6,,,,,,2,
359,s,5,,,,,,2,
360,s,5,,,,,,2,
361,n,2,,,,,,2,
362,n,1,,,,,,2,
363,s,6,,,,,,2,
364,n,1,,,,,,2,
365,s,6,,,,,,2,
366,n,2,,,,,,2,
367,n,2,,,,,,2,
368,n,2,,,,,,2,
369,n,1,,,,,,2,
370,n,1,,,,,,2,
371,n,2,,,,,,2,
372,s,6,,,,,,2,
373,s,6,,,,,,2,
374,n,1,,,,,,2,
375,n,1,,,,,,2,
376,n,2,,,,,,2,
377,s,6,,,,,,2,
378,s,5,,,,,,2,
379,n,2,,,,,,2,
380,n,1,,,,,,2,
381,n,2,,,,,,2,
382,s,6,,,,,,2,
383,n,2,,,,,,2,
384,n,1,,,,,,3,
385,n,1,,,,,,3,
386,n,1,,,,,,3,
387,n,2,,,,,,3,
388,s,5,,,,,,4,
389,n,1,,,,,,4,
390,n,2,,,,,,4,
391,n,1,,,,,,4,
392,n,2,,,,,,5,
393,n,2,,,,,,5,
394,n,1,,,,,,5,
395,s,5,,,,,,5,
396,n,1,,,,,,5,
397,n,2,,,,,,5,
398,n,1,,,,,,5,
399,n,2,,,,,,5,
400,n,1,,,,,,5,
,,3.325,,,,,,5,
401,n,1,,,,,,5,
402,s,5,,,,,,5,
403,s,5,,,,,,5,
404,n,2,,,,,,5,
405,s,6,,,,,,5,
406,n,2,,,,,,5,
407,s,5,,,,,,5,
408,s,6,,,,,,5,
409,s,6,,,,,,5,
410,n,1,,,,,,5,
411,s,5,,,,,,5,
412,n,2,,,,,,5,
413,n,1,,,,,,5,
414,n,1,,,,,,5,
415,s,6,,,,,,5,
416,s,5,,,,,,5,
417,n,1,,,,,,5,
418,n,1,,,,,,5,
419,n,1,,,,,,5,
420,s,5,,,,,,5,
421,n,2,,,,,,5,
422,n,2,,,,,,5,
423,s,6,,,,,,5,
424,n,1,,,,,,5,
425,n,1,,,,,,5,
426,n,1,,,,,,5,
427,n,1,,,,,,5,
428,n,1,,,,,,5,
429,n,2,,,,,,5,
430,n,2,,,,,,5,
431,s,6,,,,,,5,
432,n,1,,,,,,5,
433,n,1,,,,,,5,
434,n,2,,,,,,5,
435,n,2,,,,,,5,
436,n,1,,,,,,5,
437,s,6,,,,,,5,
438,s,6,,,,,,5,
439,n,2,,,,,,5,
440,n,2,,,,,,5,
441,s,6,,,,,,5,
442,s,5,,,,,,5,
443,n,2,,,,,,5,
444,n,1,,,,,,5,
445,n,1,,,,,,5,
446,s,6,,,,,,5,
447,n,1,,,,,,5,
448,n,1,,,,,,5,
449,n,1,,,,,,5,
450,s,6,,,,,,5,
451,s,6,,,,,,5,
452,n,1,,,,,,5,
453,s,6,,,,,,5,
454,s,6,,,,,,5,
455,s,5,,,,,,5,
456,n,2,,,,,,5,
457,n,1,,,,,,5,
458,n,2,,,,,,5,
459,s,6,,,,,,5,
460,s,5,,,,,,5,
461,n,1,,,,,,5,
462,s,5,,,,,,5,
463,n,1,,,,,,5,
464,s,6,,,,,,5,
465,s,5,,,,,,5,
466,n,1,,,,,,5,
467,n,2,,,,,,5,
468,n,1,,,,,,5,
469,s,6,,,,,,5,
470,s,6,,,,,,5,
471,s,5,,,,,,5,
472,s,6,,,,,,5,
473,n,2,,,,,,5,
474,n,1,,,,,,5,
475,n,2,,,,,,5,
476,n,1,,,,,,5,
477,s,6,,,,,,5,
478,n,2,,,,,,5,
479,s,5,,,,,,5,
480,s,6,,,,,,5,
481,s,6,,,,,,5,
482,s,6,,,,,,5,
483,n,2,,,,,,5,
484,s,5,,,,,,5,
485,s,5,,,,,,5,
486,n,2,,,,,,5,
487,n,2,,,,,,5,
488,s,5,,,,,,5,
489,n,1,,,,,,5,
490,n,1,,,,,,5,
491,s,6,,,,,,5,
492,n,1,,,,,,5,
493,n,2,,,,,,5,
494,s,5,,,,,,5,
