Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, ,
39,11,s,1,138,142,1,138,False,0,False,142,False,0,,
10,11,s,1,150,149,1,150,False,0,False,149,False,0,,
42,12,s,1,23,20,1,23,False,0,False,20,False,0,,
6,12,s,1,27,28,1,27,False,0,False,28,False,0,,
18,12,s,1,56,59,1,56,False,0,False,59,False,0,,
46,12,s,1,95,96,1,95,False,0,False,96,False,0,,
42,12,s,1,118,117,1,118,False,0,False,117,False,0,,
12,12,s,1,127,126,1,127,False,0,False,126,False,0,,
21,12,s,1,156,154,1,156,False,0,False,154,False,0,,
9,13,s,1,3,7,1,3,False,0,False,7,False,0,,
36,13,s,1,43,42,1,43,False,0,False,42,False,0,,
36,13,s,1,66,67,1,66,False,0,False,67,False,0,,
19,13,s,1,84,80,1,84,False,0,False,80,False,0,,
44,13,s,1,119,118,1,119,False,0,False,118,False,0,,
43,13,s,1,142,142,1,142,False,0,False,142,False,0,,
14,13,s,1,152,151,1,152,False,0,False,151,False,0,,
41,14,s,1,22,20,1,22,False,0,False,20,False,0,,
22,14,s,1,36,35,1,36,False,0,False,35,False,0,,
27,14,s,1,60,64,1,60,False,0,False,64,False,0,,
14,14,s,1,80,79,1,80,False,0,False,79,False,0,,
5,14,s,1,99,99,1,99,False,0,False,99,False,0,,
5,14,s,1,123,123,1,123,False,0,False,123,False,0,,
25,14,s,1,157,157,1,157,False,0,False,157,False,0,,
33,15,s,1,15,19,1,15,False,0,False,19,False,0,,
18,15,s,1,34,33,1,34,False,0,False,33,False,0,,
33,15,s,1,63,67,1,63,False,0,False,67,False,0,,
1,15,s,1,74,72,1,74,False,0,False,72,False,0,,
8,15,s,1,100,101,1,100,False,0,False,101,False,0,,
23,15,s,1,130,134,1,130,False,0,False,134,False,0,,
38,15,s,1,163,164,1,163,False,0,False,164,False,0,,
38,16,s,1,19,20,1,19,False,0,False,20,False,0,,
16,16,s,1,33,32,1,33,False,0,False,32,False,0,,
13,16,s,1,53,57,1,53,False,0,False,57,False,0,,
6,16,s,1,76,75,1,76,False,0,False,75,False,0,,
4,16,s,1,98,99,1,98,False,0,False,99,False,0,,
40,16,s,1,139,142,1,139,False,0,False,142,False,0,,
16,16,s,1,153,152,1,153,False,0,False,152,False,0,,
16,17,s,1,6,11,1,6,False,0,False,11,False,0,,
42,17,s,1,47,44,1,47,False,0,False,44,False,0,,
0,17,s,1,49,48,1,49,False,0,False,48,False,0,,
5,17,s,1,75,75,1,75,False,0,False,75,False,0,,
22,17,s,1,106,109,1,106,False,0,False,109,False,0,,
8,17,s,1,125,124,1,125,False,0,False,124,False,0,,
33,17,s,1,160,162,1,160,False,0,False,162,False,0,,
26,18,s,1,12,15,1,12,False,0,False,15,False,0,,
35,18,s,1,42,42,1,42,False,0,False,42,False,0,,
17,18,s,1,55,59,1,55,False,0,False,59,False,0,,
10,18,s,1,78,77,1,78,False,0,False,77,False,0,,
33,18,s,1,112,114,1,112,False,0,False,114,False,0,,
41,18,s,1,140,142,1,140,False,0,False,142,False,0,,
2,18,s,1,145,146,1,145,False,0,False,146,False,0,,
7,19,s,False,1,7,False,1,False,0,1,7,False,0,,
3,19,s,False,25,27,False,25,False,0,1,27,False,0,,
2,19,s,False,49,50,False,49,False,0,1,50,False,0,,
28,19,s,False,88,85,False,88,False,0,1,85,False,0,,
0,19,s,False,96,97,False,96,False,0,1,97,False,0,,
17,19,s,False,128,130,False,128,False,0,1,130,False,0,,
1,19,s,False,144,146,False,144,False,0,1,146,False,0,,
18,20,s,False,7,12,False,7,False,0,1,12,False,0,,
21,20,s,False,35,35,False,35,False,0,1,35,False,0,,
9,20,s,False,51,55,False,51,False,0,1,55,False,0,,
38,20,s,False,91,92,False,91,False,0,1,92,False,0,,
2,20,s,False,97,98,False,97,False,0,1,98,False,0,,
34,20,s,False,134,141,False,134,False,0,1,141,False,0,,
39,20,s,False,163,165,False,163,False,0,1,165,False,0,,
22,21,s,False,9,14,False,9,False,0,1,14,False,0,,
30,21,s,False,40,39,False,40,False,0,1,39,False,0,,
37,21,s,False,66,68,False,66,False,0,1,68,False,0,,
44,21,s,False,94,95,False,94,False,0,1,95,False,0,,
27,21,s,False,109,111,False,109,False,0,1,111,False,0,,
44,21,s,False,142,143,False,142,False,0,1,143,False,0,,
28,21,s,False,158,159,False,158,False,0,1,159,False,0,,
21,22,s,False,9,13,False,9,False,0,1,13,False,0,,
46,22,s,False,47,48,False,47,False,0,1,48,False,0,,
7,22,s,False,50,54,False,50,False,0,1,54,False,0,,
29,22,s,False,88,86,False,88,False,0,1,86,False,0,,
