Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
39,28,n,False,28,12,False,,False,,False,,1,,
109,28,s,1,87,23,1,,False,,False,,False,,
156,28,s,1,128,29,1,,False,,False,,False,,
185,28,s,1,156,30,1,,False,,False,,False,,
301,28,s,1,268,34,1,,False,,False,,False,,
320,28,s,1,285,36,1,,False,,False,,False,,
4,29,s,1,4,1,1,,False,,False,,False,,
57,29,s,1,42,16,1,,False,,False,,False,,
85,29,s,1,67,19,1,,False,,False,,False,,
203,29,s,1,174,30,1,,False,,False,,False,,
206,29,s,1,177,30,1,,False,,False,,False,,
235,29,s,1,205,31,1,,False,,False,,False,,
333,29,s,1,297,37,1,,False,,False,,False,,
10,30,n,False,7,4,False,,False,,False,,1,,
64,30,s,1,47,18,1,,False,,False,,False,,
160,30,s,1,132,29,1,,False,,False,,False,,
194,30,s,1,165,30,1,,False,,False,,False,,
223,30,s,1,193,31,1,,False,,False,,False,,
303,30,s,1,270,34,1,,False,,False,,False,,
329,30,s,1,293,37,1,,False,,False,,False,,
20,31,s,1,14,7,1,,False,,False,,False,,
29,31,s,1,21,9,1,,False,,False,,False,,
110,31,s,1,88,23,1,,False,,False,,False,,
122,31,s,1,99,24,1,,False,,False,,False,,
132,31,n,False,107,26,False,,False,,False,,1,,
168,31,n,False,139,30,False,,False,,False,,1,,
192,31,s,1,163,30,1,,False,,False,,False,,
83,32,s,1,65,19,1,,False,,False,,False,,
88,32,s,1,70,19,1,,False,,False,,False,,
137,32,s,1,111,27,1,,False,,False,,False,,
201,32,s,1,172,30,1,,False,,False,,False,,
240,32,s,1,210,31,1,,False,,False,,False,,
252,32,s,1,221,32,1,,False,,False,,False,,
268,32,s,1,236,33,1,,False,,False,,False,,
61,33,n,False,44,18,False,,False,,False,,1,,
91,33,n,False,71,21,False,,False,,False,,1,,
117,33,n,False,94,24,False,,False,,False,,1,,
183,33,s,1,154,30,1,,False,,False,,False,,
214,33,s,1,185,30,1,,False,,False,,False,,
264,33,s,1,232,33,1,,False,,False,,False,,
291,33,s,1,258,34,1,,False,,False,,False,,
101,34,n,False,79,23,False,,False,,False,,1,,
125,34,s,1,102,24,1,,False,,False,,False,,
153,34,s,1,125,29,1,,False,,False,,False,,
176,34,s,1,147,30,1,,False,,False,,False,,
230,34,s,1,200,31,1,,False,,False,,False,,
297,34,s,1,264,34,1,,False,,False,,False,,
328,34,s,1,292,37,1,,False,,False,,False,,
25,35,n,False,18,8,False,,False,,False,,1,,
143,35,s,1,117,27,1,,False,,False,,False,,
148,35,s,1,121,28,1,,False,,False,,False,,
189,35,s,1,160,30,1,,False,,False,,False,,
259,35,s,1,227,33,1,,False,,False,,False,,
289,35,s,1,256,34,1,,False,,False,,False,,
316,35,s,1,281,36,1,,False,,False,,False,,
14,36,n,False,9,6,False,,False,,False,,1,,
21,36,s,1,15,7,1,,False,,False,,False,,
126,36,n,False,102,25,False,,False,,False,,1,,
180,36,s,1,151,30,1,,False,,False,,False,,
226,36,s,1,196,31,1,,False,,False,,False,,
237,36,s,1,207,31,1,,False,,False,,False,,
314,36,n,False,279,36,False,,False,,False,,1,,
0,37,n,1,1,0,False,,1,,False,,False,,
26,37,s,False,18,9,False,,False,,1,,False,,
48,37,n,1,34,15,False,,1,,False,,False,,
75,37,n,1,57,19,False,,1,,False,,False,,
107,37,n,1,85,23,False,,1,,False,,False,,
141,37,n,1,115,27,False,,1,,False,,False,,
293,37,n,1,260,34,False,,1,,False,,False,,
167,38,n,1,139,29,False,,1,,False,,False,,
209,38,n,1,180,30,False,,1,,False,,False,,
210,38,n,1,181,30,False,,1,,False,,False,,
231,38,n,1,201,31,False,,1,,False,,False,,
250,38,n,1,219,32,False,,1,,False,,False,,
283,38,n,1,250,34,False,,1,,False,,False,,
298,38,n,1,265,34,False,,1,,False,,False,,
1,39,s,False,1,1,False,,False,,1,,False,,
43,39,s,False,30,14,False,,False,,1,,False,,
77,39,n,1,59,19,False,,1,,False,,False,,
123,39,n,1,100,24,False,,1,,False,,False,,
157,39,n,1,129,29,False,,1,,False,,False,,
239,39,n,1,209,31,False,,1,,False,,False,,
244,39,n,1,213,32,False,,1,,False,,False,,
92,40,n,1,72,21,False,,1,,False,,False,,
94,40,n,1,74,21,False,,1,,False,,False,,
136,40,s,False,110,27,False,,False,,1,,False,,
162,40,n,1,134,29,False,,1,,False,,False,,
187,40,n,1,158,30,False,,1,,False,,False,,
294,40,n,1,261,34,False,,1,,False,,False,,
309,40,n,1,275,35,False,,1,,False,,False,,
42,41,n,1,30,13,False,,1,,False,,False,,
74,41,n,1,56,19,False,,1,,False,,False,,
103,41,n,1,81,23,False,,1,,False,,False,,
111,41,n,1,89,23,False,,1,,False,,False,,
120,41,n,1,97,24,False,,1,,False,,False,,
257,41,n,1,225,33,False,,1,,False,,False,,
305,41,n,1,272,34,False,,1,,False,,False,,
6,42,n,1,6,1,False,,1,,False,,False,,
66,42,n,1,48,19,False,,1,,False,,False,,
