Ensayo,|, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
213,21,s,1,188,26,1,,False,,False,,False,,
261,21,s,1,232,30,1,,False,,False,,False,,
292,21,s,1,259,34,1,,False,,False,,False,,
302,21,s,1,268,35,1,,False,,False,,False,,
21,22,s,1,20,2,1,,False,,False,,False,,
30,22,s,1,28,3,1,,False,,False,,False,,
67,22,s,1,60,8,1,,False,,False,,False,,
134,22,s,1,121,14,1,,False,,False,,False,,
234,22,s,1,206,29,1,,False,,False,,False,,
296,22,n,False,262,35,False,,False,,False,,1,,
298,22,s,1,264,35,1,,False,,False,,False,,
46,23,s,1,42,5,1,,False,,False,,False,,
69,23,s,1,62,8,1,,False,,False,,False,,
107,23,s,1,97,11,1,,False,,False,,False,,
147,23,s,1,133,15,1,,False,,False,,False,,
167,23,s,1,149,19,1,,False,,False,,False,,
190,23,s,1,169,22,1,,False,,False,,False,,
322,23,s,1,285,38,1,,False,,False,,False,,
20,24,s,1,19,2,1,,False,,False,,False,,
39,24,s,1,36,4,1,,False,,False,,False,,
78,24,s,1,69,10,1,,False,,False,,False,,
103,24,s,1,93,11,1,,False,,False,,False,,
238,24,s,1,210,29,1,,False,,False,,False,,
293,24,s,1,260,34,1,,False,,False,,False,,
333,24,s,1,294,40,1,,False,,False,,False,,
0,25,s,1,1,0,1,,False,,False,,False,,
26,25,n,False,24,3,False,,False,,False,,1,,
64,25,n,False,57,8,False,,False,,False,,1,,
88,25,s,1,79,10,1,,False,,False,,False,,
101,25,s,1,91,11,1,,False,,False,,False,,
165,25,s,1,147,19,1,,False,,False,,False,,
282,25,s,1,250,33,1,,False,,False,,False,,
42,26,n,False,38,5,False,,False,,False,,1,,
57,26,n,False,52,6,False,,False,,False,,1,,
132,26,n,False,119,14,False,,False,,False,,1,,
187,26,s,1,166,22,1,,False,,False,,False,,
242,26,s,1,214,29,1,,False,,False,,False,,
299,26,s,1,265,35,1,,False,,False,,False,,
318,26,s,1,281,38,1,,False,,False,,False,,
136,27,s,1,123,14,1,,False,,False,,False,,
142,27,s,1,128,15,1,,False,,False,,False,,
204,27,s,1,180,25,1,,False,,False,,False,,
246,27,s,1,218,29,1,,False,,False,,False,,
252,27,s,1,224,29,1,,False,,False,,False,,
263,27,s,1,234,30,1,,False,,False,,False,,
288,27,s,1,255,34,1,,False,,False,,False,,
75,28,s,1,67,9,1,,False,,False,,False,,
85,28,s,1,76,10,1,,False,,False,,False,,
127,28,s,1,116,12,1,,False,,False,,False,,
205,28,s,1,181,25,1,,False,,False,,False,,
253,28,s,1,225,29,1,,False,,False,,False,,
303,28,s,1,269,35,1,,False,,False,,False,,
311,28,s,1,274,38,1,,False,,False,,False,,
15,29,s,1,14,2,1,,False,,False,,False,,
33,29,s,1,31,3,1,,False,,False,,False,,
82,29,s,1,73,10,1,,False,,False,,False,,
250,29,s,1,222,29,1,,False,,False,,False,,
294,29,s,1,261,34,1,,False,,False,,False,,
324,29,s,1,287,38,1,,False,,False,,False,,
335,29,s,1,296,40,1,,False,,False,,False,,
89,30,s,1,80,10,1,,False,,False,,False,,
97,30,s,1,87,11,1,,False,,False,,False,,
130,30,s,1,118,13,1,,False,,False,,False,,
174,30,s,1,155,20,1,,False,,False,,False,,
283,30,s,1,251,33,1,,False,,False,,False,,
284,30,s,1,252,33,1,,False,,False,,False,,
307,30,s,1,272,36,1,,False,,False,,False,,
99,31,s,1,89,11,1,,False,,False,,False,,
106,31,s,1,96,11,1,,False,,False,,False,,
117,31,s,1,107,11,1,,False,,False,,False,,
118,31,s,1,108,11,1,,False,,False,,False,,
128,31,s,1,117,12,1,,False,,False,,False,,
144,31,s,1,130,15,1,,False,,False,,False,,
207,31,s,1,183,25,1,,False,,False,,False,,
52,32,s,1,48,5,1,,False,,False,,False,,
76,32,s,1,68,9,1,,False,,False,,False,,
125,32,s,1,114,12,1,,False,,False,,False,,
164,32,s,1,146,19,1,,False,,False,,False,,
202,32,s,1,179,24,1,,False,,False,,False,,
228,32,s,1,201,28,1,,False,,False,,False,,
229,32,s,1,202,28,1,,False,,False,,False,,
32,33,s,1,30,3,1,,False,,False,,False,,
91,33,s,1,82,10,1,,False,,False,,False,,
93,33,s,1,84,10,1,,False,,False,,False,,
161,33,s,1,143,19,1,,False,,False,,False,,
182,33,s,1,162,21,1,,False,,False,,False,,
214,33,s,1,189,26,1,,False,,False,,False,,
226,33,s,1,199,28,1,,False,,False,,False,,
31,34,s,1,29,3,1,,False,,False,,False,,
47,34,s,1,43,5,1,,False,,False,,False,,
59,34,s,1,53,7,1,,False,,False,,False,,
83,34,s,1,74,10,1,,False,,False,,False,,
115,34,s,1,105,11,1,,False,,False,,False,,
126,34,s,1,115,12,1,,False,,False,,False,,
274,34,s,1,243,32,1,,False,,False,,False,,
18,35,s,1,17,2,1,,False,,False,,False,,
183,35,s,1,163,21,1,,False,,False,,False,,
208,35,s,1,184,25,1,,False,,False,,False,,
232,35,s,1,204,29,1,,False,,False,,False,,
256,35,s,1,227,30,1,,False,,False,,False,,
265,35,s,1,236,30,1,,False,,False,,False,,
267,35,s,1,238,30,1,,False,,False,,False,,
14,36,s,1,13,2,1,,False,,False,,False,,
119,36,s,1,109,11,1,,False,,False,,False,,
158,36,s,1,140,19,1,,False,,False,,False,,
180,36,s,1,161,20,1,,False,,False,,False,,
300,36,s,1,266,35,1,,False,,False,,False,,
301,36,s,1,267,35,1,,False,,False,,False,,
323,36,s,1,286,38,1,,False,,False,,False,,
45,37,n,1,41,5,False,,1,,False,,False,,
54,37,n,1,50,5,False,,1,,False,,False,,
