Sujeto,d_A,d_B,A_FA,FaR_A,B_FA,FaR_B,B_H,Hr_B,A_H,Hr_A,R_AN,R_BN,R_BS,R_AS,M_BS,M_AS,RT_AS_1,RT_AN_1,RT_A_1,RT_BS_1,RT_BN_1,RT_B_1,RT_AS_2,RT_AN_2,RT_A_2,RT_BS_2,RT_BN_2,RT_B_2,RT_AS_3,RT_AN_3,RT_A_3,RT_BS_3,RT_BN_3,RT_B_3,H_A_C,H_B_C,M_A_C,M_B_C,R_A_C,R_B_C,F_A_C,F_B_C
11,2.113,1.724,45,0.28125,79,0.49375,153,0.95625,150,0.9375,2.24375,3.325,5.825,5.6875,2.14285,1.8,1.88795804,2.04270168,1.96532986,1.77317531,2.2819399,2.0275576,0.38690381,0.54167264,0.46428823,0.27209362,0.78089891,0.52649626,0.68561269,0.77715401,0.73138335,0.75898991,0.77399528,0.76649259,5.946667,5.993464,1.8,2.142857,1.078261,1.185185,5.222222,5.5189
12,3.983,3.423,1,0.00625,2,0.0125,141,0.88125,149,0.93125,1.0375,1.15625,5.30625,5.65,1.78947368,2.09090909,1.93063889,1.80025177,1.86544533,2.00095202,1.86225282,1.9160542,0.42957076,0.29916079,0.36436578,0.49988758,0.3611821,0.43053484,0.77209914,0.76578137,0.76894025,0.759348,0.76142675,0.76038737,5.912752,5.780142,2.090909,1.789474,1.006289,1.107595,6,5
13,3.565,2.55,3,0.01875,7,0.04375,128,0.8,149,0.93125,1.25,1.45625,4.95625,5.525,2.1875,1.8181812,2.15376749,1.97760875,2.06568812,2.23356398,2.0454866,2.13952529,0.65266673,0.47653281,0.56459977,0.73251243,0.54443776,0.6484751,0.62927671,0.64490234,0.63708953,0.6856622,0.71196282,0.69881251,5.798658,5.648438,1.818182,2.1875,1.184713,1.27451,4.666667,5.4285
14,3.605,2.892,8,0.05,8,0.05,143,0.89375,156,0.975,1.50625,1.575,5.43125,5.74375,2.470588,2.75,2.02117408,1.90431476,1.96274442,2.0370935,2.05884764,2.04797057,0.52010237,0.40323805,0.46167021,0.53602131,0.55778304,0.54690217,0.63054928,0.76707313,0.69881121,0.68112893,0.87485833,0.77799363,5.820513,5.783217,2.75,2.470588,1.335526,1.427632,4.75,4.375
15,4.995,3.348,1,0.00625,5,0.03125,149,0.93125,159,0.99375,1.05625,1.24375,5.56875,5.94375,1,2,2.06297037,1.81722731,1.94009884,2.34949975,1.86021208,2.10485591,0.56189105,0.31616823,0.43902964,0.84845074,0.35916382,0.60380728,0.63682377,0.57038662,0.60360519,0.66438594,0.78152723,0.72295659,5.974843,5.832215,1,2,1.025157,1.103226,6,5
16,3.362,2.111,31,0.19375,55,0.34375,153,0.95625,160,1,2.3625,2.90625,5.75625,5.9,1.28571429,3,2.20379899,2.33091537,2.26735718,2.27828775,2.33825632,2.308277203,0.70271558,0.82983268,0.76627413,0.77722573,0.83720726,0.8072169,0.72014142,0.87424009,0.7991975,0.78717505,0.76837529,0.77777517,5.930818,5.960784,4,1.285714,1.612403,1.580952,5.34375,5.4363
17,1.86,1.079,15,0.09375,32,0.2,95,0.59375,113,0.70625,1.93125,2.36875,4.1625,4.38125,2.43076923,2.38297872,2.78026501,2.80213748,2.79120124,2.8248178,2.78087929,2.80284854,1.27923587,1.30106856,1.29015221,1.32374816,1.27982165,1.3017849,0.87372486,1.21076806,1.04224645,0.87556343,0.95289492,0.91422917,5.2122389,5.347368,2.382979,2.430769,1.627586,1.671875,4.866667,5.1562
18,2.713,1.974,14,0.0875,29,0.18125,137,0.85625,146,0.9125,1.4875,2.01875,5.20625,5.5,1.47826087,1.71428571,2.27463888,2.06850038,2.17156963,2.17154694,2.17675649,2.17415172,0.77355396,0.56740979,0.67048187,0.67049925,0.6756899,0.67309458,0.66245041,0.73891058,0.7006805,0.67188602,0.77272023,0.72230313,5.863014,5.832117,1.714286,1.478261,1.089041,1.229008,5.642857,5.5862
19,4.578,3.861,1,0.00625,3,0.01875,154,0.9625,157,0.98125,1.075,1.1375,5.7625,5.89375,1.666666,1.33333,2.3444366,2.13236894,2.1834063,2.27047507,2.06036616,2.16542061,0.73337986,0.63128994,0.6823349,0.76941787,0.55930864,0.66436326,0.51024211,0.52774532,0.51899371,0.5487661,0.50017604,0.52447107,5.980892,5.922078,1.33333,1.666667,1.044025,1.063694,3,5
20,2.994,2.133,6,0.0375,14,0.0875,125,0.78125,142,0.8875,1.5,1.66875,4.70625,5.2,2.37142857,2.84210526,2.81653436,2.36051994,2.58852715,2.91121003,2.6244993,2.76785467,1.31551377,0.8594711,1.08749244,1.41016889,1.12346651,1.2668177,0.8981442,0.79656736,0.84735578,0.93759714,0.84861794,0.89310754,5.521127,5.36,2.66666667,2.371429,1.38961,1.376712,4.333333,4.7142
