Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
135,26,n,0,107,29,0,,0,,0,,1,,
184,26,n,0,142,43,0,,0,,0,,1,,
216,26,n,0,168,49,0,,0,,0,,1,,
234,26,n,0,185,50,0,,0,,0,,1,,
258,26,n,0,203,56,0,,0,,0,,1,,
67,27,n,0,53,15,0,,0,,0,,1,,
90,27,s,1,74,17,1,,0,,0,,0,,
95,27,n,0,76,20,0,,0,,0,,1,,
150,27,n,0,117,34,0,,0,,0,,1,,
261,27,n,0,204,58,0,,0,,0,,1,,
305,27,s,1,237,69,1,,0,,0,,0,,
335,27,n,0,259,77,0,,0,,0,,1,,
3,28,n,0,3,1,0,,0,,0,,1,,
60,28,n,0,49,12,0,,0,,0,,1,,
154,28,n,0,119,36,0,,0,,0,,1,,
179,28,s,1,139,41,1,,0,,0,,0,,
257,28,n,0,203,55,0,,0,,0,,1,,
315,28,n,0,245,71,0,,0,,0,,1,,
324,28,n,0,251,74,0,,0,,0,,1,,
7,29,s,1,7,1,1,,0,,0,,0,,
10,29,s,1,10,1,1,,0,,0,,0,,
49,29,s,1,40,10,1,,0,,0,,0,,
51,29,s,1,42,10,1,,0,,0,,0,,
122,29,s,1,97,26,1,,0,,0,,0,,
156,29,s,1,121,36,1,,0,,0,,0,,
279,29,s,1,220,60,1,,0,,0,,0,,
0,30,s,1,1,0,1,,0,,0,,0,,
11,30,s,1,11,1,1,,0,,0,,0,,
222,30,s,1,174,49,1,,0,,0,,0,,
235,30,s,1,186,50,1,,0,,0,,0,,
270,30,s,1,212,59,1,,0,,0,,0,,
317,30,n,0,246,72,0,,0,,0,,1,,
323,30,s,1,251,73,1,,0,,0,,0,,
46,31,s,1,37,10,1,,0,,0,,0,,
107,31,s,1,84,24,1,,0,,0,,0,,
131,31,n,0,104,28,0,,0,,0,,1,,
191,31,n,0,147,45,0,,0,,0,,1,,
233,31,s,1,185,49,1,,0,,0,,0,,
241,31,s,1,192,50,1,,0,,0,,0,,
288,31,s,1,228,61,1,,0,,0,,0,,
75,32,s,1,60,16,1,,0,,0,,0,,
86,32,s,1,70,17,1,,0,,0,,0,,
138,32,n,0,107,32,0,,0,,0,,1,,
159,32,s,1,124,36,1,,0,,0,,0,,
249,32,s,1,198,52,1,,0,,0,,0,,
255,32,s,1,202,54,1,,0,,0,,0,,
308,32,s,1,239,70,1,,0,,0,,0,,
92,33,n,0,75,18,0,,0,,0,,1,,
102,33,n,0,81,22,0,,0,,0,,1,,
123,33,n,0,97,27,0,,0,,0,,1,,
213,33,s,1,166,48,1,,0,,0,,0,,
260,33,n,0,204,57,0,,0,,0,,1,,
272,33,s,1,214,59,1,,0,,0,,0,,
275,33,s,1,217,59,1,,0,,0,,0,,
77,34,s,1,62,16,1,,0,,0,,0,,
104,34,s,1,82,23,1,,0,,0,,0,,
137,34,n,0,107,31,0,,0,,0,,1,,
153,34,n,0,119,35,0,,0,,0,,1,,
172,34,n,0,136,37,0,,0,,0,,1,,
266,34,s,1,208,59,1,,0,,0,,0,,
271,34,s,1,213,59,1,,0,,0,,0,,
243,35,s,1,193,51,1,,0,,0,,0,,
263,35,n,0,205,59,0,,0,,0,,1,,
277,35,n,0,218,60,0,,0,,0,,1,,
280,35,s,1,221,60,1,,0,,0,,0,,
295,35,n,0,231,65,0,,0,,0,,1,,
318,35,s,1,247,72,1,,0,,0,,0,,
321,35,n,0,249,73,0,,0,,0,,1,,
62,36,n,0,50,13,0,,0,,0,,1,,
84,36,n,0,68,17,0,,0,,0,,1,,
97,36,s,1,78,20,1,,0,,0,,0,,
178,36,n,0,138,41,0,,0,,0,,1,,
196,36,s,1,152,45,1,,0,,0,,0,,
282,36,s,1,223,60,1,,0,,0,,0,,
298,36,n,0,232,67,0,,0,,0,,1,,
2,37,n,1,3,0,0,,1,,0,,0,,
15,37,n,1,15,1,0,,1,,0,,0,,
169,37,n,1,134,36,0,,1,,0,,0,,
210,37,n,1,163,48,0,,1,,0,,0,,
253,37,s,0,200,54,0,,0,,1,,0,,
285,37,n,1,225,61,0,,1,,0,,0,,
296,37,n,1,232,65,0,,1,,0,,0,,
22,38,n,1,21,2,0,,1,,0,,0,,
27,38,n,1,24,4,0,,1,,0,,0,,
143,38,n,1,111,33,0,,1,,0,,0,,
206,38,n,1,160,47,0,,1,,0,,0,,
251,38,s,0,199,53,0,,0,,1,,0,,
283,38,s,0,223,61,0,,0,,1,,0,,
300,38,s,0,233,68,0,,0,,1,,0,,
72,39,n,1,58,15,0,,1,,0,,0,,
148,39,n,1,116,33,0,,1,,0,,0,,
152,39,n,1,119,34,0,,1,,0,,0,,
158,39,n,1,123,36,0,,1,,0,,0,,
188,39,n,1,145,44,0,,1,,0,,0,,
190,39,n,1,147,44,0,,1,,0,,0,,
325,39,n,1,252,74,0,,1,,0,,0,,
71,40,n,1,57,15,0,,1,,0,,0,,
80,40,n,1,65,16,0,,1,,0,,0,,
89,40,n,1,73,17,0,,1,,0,,0,,
93,40,s,0,75,19,0,,0,,1,,0,,
132,40,n,1,105,28,0,,1,,0,,0,,
229,40,n,1,181,49,0,,1,,0,,0,,
284,40,n,1,224,61,0,,1,,0,,0,,
6,41,n,1,6,1,0,,1,,0,,0,,
37,41,n,1,32,6,0,,1,,0,,0,,
120,41,n,1,95,26,0,,1,,0,,0,,
127,41,n,1,101,27,0,,1,,0,,0,,
147,41,n,1,115,33,0,,1,,0,,0,,
186,41,n,1,144,43,0,,1,,0,,0,,
274,41,n,1,216,59,0,,1,,0,,0,,
61,42,n,1,50,12,0,,1,,0,,0,,
129,42,n,1,103,27,0,,1,,0,,0,,
202,42,s,0,156,47,0,,0,,1,,0,,
203,42,n,1,157,47,0,,1,,0,,0,,
291,42,s,0,230,62,0,,0,,1,,0,,
297,42,s,0,232,66,0,,0,,1,,0,,
331,42,n,1,258,74,0,,1,,0,,0,,
