"","X.1","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","Color","X","facilidad","senal","tipo","choice","outcome","Exito","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"184",184,183,123,"s","True",116,68,"True",57,"False",59,"False",32,"False",36,6,1.85211181641,0.351069927216,0.20112490654,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"185",185,184,321,"n","False",116,69,"False",57,"False",59,"False",32,"True",37,2,2.84997701645,1.34957814217,0.20060300827,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"186",186,185,602,"s","False",116,70,"False",57,"False",59,"True",33,"False",37,6,1.65091300011,0.150454998016,0.200710058212,"Purpura",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"187",187,186,279,"s","False",116,71,"False",57,"False",59,"True",34,"False",37,4,2.75418996811,1.25307202339,0.300909996033,"Azul",NA,"pocos","ruido","1 AN",1,1,0,"0","0","0","0","0","1","0","1","0","1","0","1"
"188",188,187,523,"s","False",116,72,"False",57,"False",59,"True",35,"False",37,6,2.2531478405,0.751938819885,0.300771951675,"Azul",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"189",189,188,72,"s","True",117,72,"True",58,"False",59,"False",35,"False",37,6,2.25314998627,0.75208902359,0.200612068176,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"190",190,189,462,"n","False",117,73,"False",58,"False",59,"False",35,"True",38,1,2.74959301949,1.24848914146,0.300942182541,"Azul",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"191",191,190,22,"s","True",118,73,"True",59,"False",59,"False",35,"False",38,6,2.24973583221,0.748688936234,0.300961017609,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"192",192,191,443,"n","False",118,74,"False",59,"False",59,"False",35,"True",39,2,2.65007996559,1.14898705482,0.301492929459,"Azul",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"193",193,192,368,"s","True",119,74,"True",60,"False",59,"False",35,"False",39,6,2.14808487892,0.646984815598,0.20055603981,"Azul",NA,"muchos","senal","3 BS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"194",194,193,580,"s","False",119,75,"False",60,"False",59,"True",36,"False",39,6,1.95155596733,0.450874090195,0.3010160923,"Purpura",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"195",195,194,17,"s","True",120,75,"True",61,"False",59,"False",36,"False",39,6,1.64693498611,0.145839929581,0.601666927338,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"196",196,195,14,"n","False",120,76,"False",61,"False",59,"False",36,"True",40,2,2.24936008453,0.748220920563,0.201271057129,"Naranja",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"197",197,196,524,"s","False",120,77,"False",61,"False",59,"True",37,"False",40,6,2.64911389351,1.14803791046,0.200700044632,"Naranja",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"198",198,197,172,"s","False",120,78,"False",61,"False",59,"True",38,"False",40,6,1.64712882042,0.146081924438,0.601728916168,"Verde",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"199",199,198,474,"n","False",120,79,"False",61,"False",59,"False",38,"True",41,2,2.55278992653,1.05219101906,0.701924085617,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"200",200,199,226,"s","False",120,80,"False",61,"False",59,"True",39,"False",41,5,2.95521593094,1.45410513878,0.501460790634,"Verde",NA,"pocos","ruido","1 AN",1,1,0,"0","0","0","1","0","1","0","1","0","1","0","1"
"201",201,200,406,"n","False",120,81,"False",61,"False",59,"False",39,"True",42,2,3.25101518631,1.74987411499,0.902467012405,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"202",202,201,551,"n","True",121,81,"False",61,"True",60,"False",39,"False",42,1,2.35231804848,0.852033138275,1.90473508835,"Purpura",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"203",203,202,375,"n","False",121,82,"False",61,"False",60,"False",39,"True",43,1,1.64734101295,0.146152019501,0.601366043091,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"204",204,203,29,"s","True",122,82,"True",62,"False",60,"False",39,"False",43,6,2.15263700485,0.651471853256,0.401042938232,"Azul",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"205",205,204,107,"s","True",123,82,"True",63,"False",60,"False",39,"False",43,6,1.64682102203,0.145716190338,0.200644016266,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"206",206,205,233,"s","False",123,83,"False",63,"False",60,"True",40,"False",43,6,1.640583992,0.139465093613,0.701856136322,"Purpura",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"207",207,206,129,"s","True",124,83,"True",64,"False",60,"False",40,"False",43,6,1.65169811249,0.150574922562,1.00246405602,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"208",208,207,99,"s","True",125,83,"True",65,"False",60,"False",40,"False",43,6,1.65241909027,0.151260852814,0.401323080063,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"209",209,208,132,"s","True",126,83,"True",66,"False",60,"False",40,"False",43,6,2.25267195702,0.75154709816,0.401456832886,"Azul",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"210",210,209,482,"n","True",127,83,"False",66,"True",61,"False",40,"False",43,2,1.95096898079,0.450590848923,0.601763963699,"Naranja",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","1","0","1"
"211",211,210,90,"n","False",127,84,"False",66,"False",61,"False",40,"True",44,1,1.65049695969,0.149303913116,0.902370929718,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"212",212,211,493,"n","True",128,84,"False",66,"True",62,"False",40,"False",44,1,1.64732217789,0.146197080612,0.200647830963,"Purpura",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"213",213,212,631,"n","True",129,84,"False",66,"True",63,"False",40,"False",44,1,1.65134811401,0.150310993195,0.701746940613,"Purpura",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"214",214,213,218,"s","False",129,85,"False",66,"False",63,"True",41,"False",44,6,3.05383896828,1.55272102356,0.300973892212,"Azul",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"215",215,214,438,"n","False",129,86,"False",66,"False",63,"False",41,"True",45,2,2.14818501472,0.64714384079,0.401158094406,"Verde",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"216",216,215,326,"n","False",129,87,"False",66,"False",63,"False",41,"True",46,3,3.35514593124,1.85461306572,0.501442193985,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","1","0","1","0","1","0"
