"","X.5","X.4","X.3","X.2","X.1","Ensayo","Estimulo","Comparacion","SignallPosition","Respuesta","Eleccion","OpcionPredicha","RTime1","RTime2","Color","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","X","SignalPosition","SignalPos"
"88",88,88,88,88,88,87,77,"3 BS-BN","Left","left","BS",1,1.63250398636,0.631469011307,"Naranja",1,42,1,42,0,17,0,17,NA,"Right","Right"
"89",89,89,89,89,89,88,136,"2 AS-BN","Right","left","BN",0,1.7362639904,0.735769987106,"Verde",0,42,0,42,1,18,1,18,NA,"Left","Left"
"90",90,90,90,90,90,89,200,"5 AS-BS","Both","right","AS",1,1.83620595932,0.835669994354,"Naranja",NA,42,NA,42,NA,18,NA,18,NA,"Left","Left"
"91",91,91,91,91,91,90,235,"5 AS-BS","Both","left","AS",1,1.735861063,0.73571395874,"Naranja",NA,42,NA,42,NA,18,NA,18,NA,"Right","Right"
"92",92,92,92,92,92,91,84,"3 BS-BN","Right","right","BS",1,1.13411092758,0.132936954498,"Azul",1,43,1,43,0,18,0,18,NA,"Right","Right"
"93",93,93,93,93,93,92,36,"1 AS-AN","Right","right","AS",1,1.23500990868,0.234410047531,"Azul",1,44,1,44,0,18,0,18,NA,"Left","Left"
"94",94,94,94,94,94,93,283,"6 AN-BN","None","right","BN",1,4.24215102196,3.24181604385,"Azul",NA,44,NA,44,NA,18,NA,18,NA,"Left","Left"
"95",95,95,95,95,95,94,234,"5 AS-BS","Both","left","BS",0,2.33792495728,1.33768892288,"Purpura",NA,44,NA,44,NA,18,NA,18,NA,"Right","Right"
"96",96,96,96,96,96,95,129,"2 AS-BN","Left","left","AS",1,1.33504891396,0.334410905838,"Verde",1,45,1,45,0,18,0,18,NA,"Right","Right"
"97",97,97,97,97,97,96,240,"5 AS-BS","Both","left","BS",0,1.73633980751,0.735982179642,"Azul",NA,45,NA,45,NA,18,NA,18,NA,"Left","Left"
"98",98,98,98,98,98,97,131,"2 AS-BN","Right","right","AS",1,1.83622002602,0.835743188858,"Naranja",1,46,1,46,0,18,0,18,NA,"Left","Left"
"99",99,99,99,99,99,98,14,"1 AS-AN","Right","left","AN",0,1.73657894135,0.735395908356,"Azul",0,46,0,46,1,19,1,19,NA,"Right","Right"
"100",100,100,100,100,100,99,171,"4 BS-AN","Right","right","BS",1,1.73605489731,0.735611915588,"Verde",1,47,1,47,0,19,0,19,NA,"Right","Right"
"101",101,101,101,101,101,100,238,"5 AS-BS","Both","left","BS",0,2.23732089996,1.23703289032,"Naranja",NA,47,NA,47,NA,19,NA,19,NA,"Left","Left"
"102",102,102,102,102,102,101,178,"4 BS-AN","Left","left","BS",1,1.43516492844,0.434568881989,"Azul",1,48,1,48,0,19,0,19,NA,"Left","Left"
"103",103,103,103,103,103,102,100,"2 AS-BN","Right","right","AS",1,1.33547496796,0.334417104721,"Purpura",1,49,1,49,0,19,0,19,NA,"Right","Right"
"104",104,104,104,104,104,103,237,"5 AS-BS","Both","left","AS",1,1.73574900627,0.735338926315,"Purpura",NA,49,NA,49,NA,19,NA,19,NA,"Right","Right"
