Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,X,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
43,134,s,True,35,9,True,19,False,16,False,8,False,1,6,3.055073977,1.553946018,0.602108955,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
44,41,s,True,36,9,True,20,False,16,False,8,False,1,6,3.050595045,1.54951787,0.601692915,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
45,69,s,True,37,9,True,21,False,16,False,8,False,1,5,3.557100058,2.055909872,0.501223087,Verde,NA,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
46,465,s,True,38,9,True,22,False,16,False,8,False,1,6,2.850285769,1.349161863,0.801912069,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
47,11,s,True,39,9,True,23,False,16,False,8,False,1,6,3.651582003,2.150498867,0.601552963,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
48,268,s,False,39,10,False,23,False,16,True,9,False,1,4,4.859872818,3.358785152,0.701832056,Verde,NA,pocos,ruido,1 AN,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
49,76,s,True,40,10,True,24,False,16,False,9,False,1,5,3.751568794,2.250516891,1.403453827,Verde,NA,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
51,263,n,True,41,11,False,24,True,17,False,10,False,1,1,3.155416965,1.654281855,0.702037096,Azul,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
52,353,s,True,42,11,True,25,False,17,False,10,False,1,6,3.15403986,1.653469801,1.10303092,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
53,1,s,True,43,11,True,26,False,17,False,10,False,1,6,2.95542407,1.454479933,1.102796078,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
54,329,s,True,44,11,True,27,False,17,False,10,False,1,6,3.151383162,1.650248051,0.902480125,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
56,494,n,True,46,11,False,27,True,19,False,10,False,1,1,3.150579929,1.649666071,0.802153111,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
57,96,s,True,47,11,True,28,False,19,False,10,False,1,6,2.955245972,1.455004931,1.203005075,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
58,555,s,False,47,12,False,28,False,19,True,11,False,1,6,3.250952959,1.749871969,1.60424304,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
59,379,s,True,48,12,True,29,False,19,False,11,False,1,5,3.154505968,1.653918982,0.802424908,Verde,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
60,476,s,True,49,12,True,30,False,19,False,11,False,1,6,4.056653976,2.555611849,0.90228796,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
62,396,s,True,51,12,True,31,False,20,False,11,False,1,6,3.451496124,1.950351,0.701782942,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
63,570,s,False,51,13,False,31,False,20,True,12,False,1,6,2.653597116,1.152488947,0.701929808,Purpura,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
64,71,s,True,52,13,True,32,False,20,False,12,False,1,5,3.356637001,1.855489969,0.601636887,Azul,NA,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
65,526,n,True,53,13,False,32,True,21,False,12,False,1,2,2.949979067,1.448929071,4.510925055,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
66,560,n,True,54,13,False,32,True,22,False,12,False,1,1,2.849974155,1.348863125,0.902441025,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
68,594,s,False,55,14,False,32,False,23,True,13,False,1,6,4.855217934,3.354074955,3.608751059,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
69,477,s,True,56,14,True,33,False,23,False,13,False,1,6,2.942005873,1.440813065,1.303262949,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
70,130,s,True,57,14,True,34,False,23,False,13,False,1,6,2.654209852,1.153115988,1.403641939,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
71,105,s,True,58,14,True,35,False,23,False,13,False,1,6,3.251536846,1.750370026,0.602115154,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
72,149,s,True,59,14,True,36,False,23,False,13,False,1,6,2.655098915,1.153955936,0.501403093,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
73,406,s,True,60,14,True,37,False,23,False,13,False,1,6,2.854613066,1.353528976,0.701822042,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
74,367,s,True,61,14,True,38,False,23,False,13,False,1,6,3.050980091,1.549818039,0.602082014,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
75,458,s,True,62,14,True,39,False,23,False,13,False,1,6,2.048272848,0.547132969,0.80223012,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
76,154,s,True,63,14,True,40,False,23,False,13,False,1,6,1.85311079,0.351952791,0.802069187,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
77,179,s,False,63,15,False,40,False,23,True,14,False,1,6,2.048559189,0.547367096,0.701879025,Purpura,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
78,363,s,True,64,15,True,41,False,23,False,14,False,1,6,2.650287151,1.149178982,1.20301795,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
79,341,n,False,64,16,False,41,False,23,False,14,True,2,2,3.451318979,1.950191021,0.601578951,Verde,NA,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
80,351,s,True,65,16,True,42,False,23,False,14,False,2,6,3.455284119,1.954303026,1.002319098,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
81,6,s,True,66,16,True,43,False,23,False,14,False,2,6,3.155263901,1.654077053,0.90217495,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
82,558,n,True,67,16,False,43,True,24,False,14,False,2,1,3.351719141,1.8504951,0.902153969,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
84,383,s,True,68,17,True,44,False,24,False,15,False,2,5,3.455754042,1.954643965,0.501460075,Purpura,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
85,352,s,True,69,17,True,45,False,24,False,15,False,2,6,2.953019857,1.452639818,0.501811981,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
86,75,s,True,70,17,True,46,False,24,False,15,False,2,6,2.743034124,1.241858006,0.601537943,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
87,323,s,True,71,17,True,47,False,24,False,15,False,2,6,2.652322054,1.151731014,0.802068949,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
88,45,s,True,72,17,True,48,False,24,False,15,False,2,6,2.950533867,1.449383974,0.601602077,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
90,453,s,True,74,17,True,49,False,25,False,15,False,2,6,2.753973007,1.253005981,1.704146147,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
92,86,s,True,76,17,True,50,False,26,False,15,False,2,6,3.050601959,1.549412966,0.601733923,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
93,133,s,True,77,17,True,51,False,26,False,15,False,2,6,2.754205942,1.252994061,1.403652191,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
94,165,s,False,77,18,False,51,False,26,True,16,False,2,5,6.16300106,4.661878109,0.60144496,Verde,NA,pocos,ruido,1 AN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
95,327,s,True,78,18,True,52,False,26,False,16,False,2,6,2.652833939,1.152141094,1.102756023,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
96,430,s,True,79,18,True,53,False,26,False,16,False,2,6,3.250988007,1.749889135,0.401080847,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
97,471,s,True,80,18,True,54,False,26,False,16,False,2,6,4.053466082,2.552235127,0.701881886,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
98,218,s,False,80,19,False,54,False,26,True,17,False,2,6,2.753700018,1.252490044,1.804713011,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
99,63,s,True,81,19,True,55,False,26,False,17,False,2,6,2.753431082,1.252316952,0.601452112,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
100,581,n,True,82,19,False,55,True,27,False,17,False,2,2,4.056331873,2.555577993,1.003221035,Naranja,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
101,232,s,False,82,20,False,55,False,27,True,18,False,2,6,2.854969978,1.353837967,0.501366138,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
102,241,s,False,82,21,False,55,False,27,True,19,False,2,6,2.052515984,0.551405907,0.601855993,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
103,517,s,False,82,22,False,55,False,27,True,20,False,2,6,2.752525091,1.251667976,0.702190161,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
104,386,s,True,83,22,True,56,False,27,False,20,False,2,6,3.054948092,1.553755045,0.501355886,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
105,173,s,False,83,23,False,56,False,27,True,21,False,2,6,2.748594046,1.247467041,0.401200056,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
106,51,s,True,84,23,True,57,False,27,False,21,False,2,6,1.9479599,0.446805,0.401078939,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
107,205,s,False,84,24,False,57,False,27,True,22,False,2,6,2.64923811,1.148133993,0.40120101,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
108,254,n,True,85,24,False,57,True,28,False,22,False,2,1,3.254447222,1.753319979,0.501353025,Naranja,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
109,481,s,False,85,25,False,57,False,28,True,23,False,2,6,2.348248005,0.847033978,0.601866007,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
110,15,s,True,86,25,True,58,False,28,False,23,False,2,6,2.048155069,0.54695797,0.501412869,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
111,188,s,False,86,26,False,58,False,28,True,24,False,2,6,2.453653812,0.952597857,0.80194211,Verde,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
112,209,s,False,86,27,False,58,False,28,True,25,False,2,6,2.749701023,1.24853611,0.501468182,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
113,163,s,False,86,28,False,58,False,28,True,26,False,2,6,1.852052927,0.350848913,0.50158,Purpura,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
114,70,s,True,87,28,True,59,False,28,False,26,False,2,6,2.052626848,0.551521063,0.501271963,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
115,195,s,False,87,29,False,59,False,28,True,27,False,2,6,1.852057934,0.350896835,0.501338005,Purpura,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
116,237,n,True,88,29,False,59,True,29,False,27,False,2,1,2.751211166,1.250055075,0.801820993,Azul,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
118,109,s,True,90,29,True,60,False,30,False,27,False,2,6,2.748667002,1.248507977,0.601334095,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
119,441,s,True,91,29,True,61,False,30,False,27,False,2,6,2.853961229,1.353002071,0.501171112,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
120,325,s,True,92,29,True,62,False,30,False,27,False,2,6,2.653406858,1.152299881,0.601699829,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
121,563,s,False,92,30,False,62,False,30,True,28,False,2,6,2.449226141,0.948084116,0.802052021,Verde,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
122,95,s,True,93,30,True,63,False,30,False,28,False,2,6,2.353290081,0.852125883,0.601707935,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
124,435,s,True,94,31,True,64,False,30,False,29,False,2,6,3.050915957,1.549834967,0.701947212,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
125,375,s,True,95,31,True,65,False,30,False,29,False,2,4,3.951592922,2.451057911,1.102961063,Naranja,NA,muchos,senal,3 BS,1,4,1,0,0,0,0,1,0,1,0,1,0,1,0
126,330,s,True,96,31,True,66,False,30,False,29,False,2,5,2.650359869,1.149204016,1.102988005,Azul,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
129,456,s,True,98,32,True,67,False,31,False,30,False,2,6,7.665370941,6.164288998,0.401050091,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
130,579,n,True,99,32,False,67,True,32,False,30,False,2,1,3.25465107,1.753818035,0.50142312,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
132,534,n,True,101,32,False,67,True,34,False,30,False,2,2,2.548599958,1.04746294,1.303245783,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
133,187,s,False,101,33,False,67,False,34,True,31,False,2,6,3.253872156,1.752690077,0.501255035,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
134,219,s,False,101,34,False,67,False,34,True,32,False,2,6,1.95230794,0.45122695,0.502084017,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
135,516,s,False,101,35,False,67,False,34,True,33,False,2,6,2.151906967,0.651004076,0.401821136,Purpura,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
136,141,s,True,102,35,True,68,False,34,False,33,False,2,6,1.750755072,0.249570131,0.401089907,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
137,503,s,False,102,36,False,68,False,34,True,34,False,2,5,6.658545017,5.157380104,1.002597094,Purpura,NA,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
138,65,s,True,103,36,True,69,False,34,False,34,False,2,6,2.25300622,0.752727032,0.501256943,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
139,53,s,True,104,36,True,70,False,34,False,34,False,2,6,2.548748016,1.047574997,0.501685858,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
140,533,s,False,104,37,False,70,False,34,True,35,False,2,5,2.850317001,1.349132061,0.50168705,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
144,160,s,True,107,38,True,71,False,36,False,36,False,2,6,2.453553915,0.952402115,0.902485847,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
145,495,n,True,108,38,False,71,True,37,False,36,False,2,2,3.651732922,2.150625944,0.601716042,Naranja,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
146,189,s,False,108,39,False,71,False,37,True,37,False,2,5,4.257372856,2.756223917,1.002571106,Azul,NA,pocos,ruido,1 AN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
147,183,s,False,108,40,False,71,False,37,True,38,False,2,6,3.050687075,1.549587011,0.300736189,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
148,123,s,True,109,40,True,72,False,37,False,38,False,2,6,2.051511049,0.550403118,0.400998831,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
149,193,s,False,109,41,False,72,False,37,True,39,False,2,6,2.152769089,0.651680946,0.300906897,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
150,98,s,True,110,41,True,73,False,37,False,39,False,2,6,2.353488922,0.852304935,1.002444029,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
151,397,s,True,111,41,True,74,False,37,False,39,False,2,6,2.447435141,0.946288109,0.401021957,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
152,19,s,True,112,41,True,75,False,37,False,39,False,2,6,2.749840975,1.248687983,0.501906872,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
154,446,s,True,113,42,True,76,False,37,False,40,False,2,5,3.053951025,1.552824974,0.501839161,Azul,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
155,117,s,True,114,42,True,77,False,37,False,40,False,2,6,2.85424304,1.353085995,0.40111208,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
156,470,s,True,115,42,True,78,False,37,False,40,False,2,6,3.65318203,2.152070045,0.802267075,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
157,587,s,False,115,43,False,78,False,37,True,41,False,2,6,4.559290171,3.05819416,0.601516962,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
158,511,s,False,115,44,False,78,False,37,True,42,False,2,5,3.252007008,1.750821114,0.501266003,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
160,159,s,True,117,44,True,79,False,38,False,42,False,2,6,3.956825972,2.455965996,0.601266861,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
161,102,s,True,118,44,True,80,False,38,False,42,False,2,6,4.960593939,3.459517002,1.002355099,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
